# sample_index	input	output
176	174	174
177	446	446
178	2	2
179	46	46
180	264	264
181	218	218
182	319	319
183	361	361
184	45	45
185	153	153
186	269	269
187	7	7
188	39	39
189	136	136
190	335	335
191	237	237
192	129	129
193	215	215
194	289	289
195	28	28
196	747	747
197	54	54
198	51	51
199	202	202
200	49	49
201	133	133
202	97	97
203	212	212
204	78	78
205	573	573
206	308	308
207	2	2
208	127	127
209	85	85
210	470	470
211	71	71
212	118	118
213	33	33
214	8	8
215	105	105
216	222	222
217	76	76
218	71	71
219	50	50
220	275	275
221	188	188
222	171	171
223	87	87
224	124	124
225	232	232
226	306	306
227	44	44
228	226	226
229	4	4
230	52	52
231	386	386
232	24	24
233	1	1
234	422	422
235	184	184
236	120	120
237	147	147
238	250	250
239	2	2
240	197	197
241	172	172
242	65	65
243	58	58
244	22	22
245	33	33
246	15	15
247	182	182
248	110	110
249	405	405
250	612	612
251	14	14
252	502	502
253	523	523
254	6	6
255	536	536
256	193	193
257	158	158
258	293	293
259	25	25
260	120	120
261	146	146
262	115	115
263	193	193
264	15	15
265	52	52
266	16	16
267	460	460
268	272	272
269	207	207
270	374	374
271	106	106
272	243	243
273	314	314
274	9	9
275	21	21
276	12	12
277	122	122
278	47	47
279	166	166
280	75	75
281	179	179
282	88	88
283	199	199
284	41	41
285	133	133
286	421	421
287	152	152
288	381	381
289	388	388
290	141	141
291	52	52
292	322	322
293	47	47
294	205	205
295	204	204
296	206	206
297	72	72
298	126	126
299	329	329
300	488	488
301	27	27
302	105	105
303	34	34
304	190	190
305	120	120
306	66	66
307	214	214
308	3	3
309	223	223
310	702	702
311	12	12
312	75	75
313	82	82
314	48	48
315	174	174
316	107	107
317	191	191
318	140	140
319	435	435
320	386	386
321	137	137
322	193	193
323	185	185
324	131	131
325	383	383
326	14	14
327	181	181
328	68	68
329	152	152
330	322	322
331	68	68
332	169	169
333	542	542
334	137	137
335	100	100
336	142	142
337	213	213
338	404	404
339	33	33
340	246	246
341	79	79
342	209	209
343	592	592
344	219	219
345	13	13
346	154	154
347	102	102
348	32	32
349	127	127
350	465	465
351	163	163
352	103	103
353	14	14
354	50	50
355	256	256
356	21	21
357	36	36
358	303	303
359	293	293
360	164	164
361	97	97
362	170	170
363	165	165
364	104	104
365	240	240
366	12	12
367	213	213
368	59	59
369	83	83
370	196	196
371	194	194
372	67	67
373	291	291
374	132	132
375	235	235
376	48	48
377	218	218
378	309	309
379	256	256
380	111	111
381	103	103
382	195	195
383	328	328
384	30	30
385	5	5
386	22	22
387	615	615
388	16	16
389	362	362
390	236	236
391	22	22
392	781	781
393	42	42
394	226	226
395	424	424
396	100	100
397	38	38
398	150	150
399	22	22
400	78	78
401	0	0
402	55	55
403	100	100
404	92	92
405	121	121
406	102	102
407	494	494
408	73	73
409	113	113
410	321	321
411	96	96
412	363	363
413	0	0
414	370	370
415	28	28
416	110	110
417	468	468
418	114	114
419	355	355
420	664	664
421	60	60
422	82	82
423	48	48
424	122	122
425	95	95
426	399	399
427	729	729
428	172	172
429	520	520
430	151	151
431	597	597
432	81	81
433	324	324
434	125	125
435	571	571
436	348	348
437	324	324
438	16	16
439	204	204
440	370	370
441	21	21
442	396	396
443	181	181
444	24	24
445	29	29
446	185	185
447	116	116
448	136	136
449	32	32
450	88	88
451	31	31
452	9	9
453	248	248
454	242	242
455	198	198
456	45	45
457	134	134
458	682	682
459	306	306
460	274	274
461	710	710
462	19	19
463	327	327
464	105	105
465	635	635
466	34	34
467	849	849
468	19	19
469	0	0
470	358	358
471	349	349
472	6	6
473	374	374
474	519	519
475	86	86
476	166	166
477	65	65
478	53	53
479	0	0
480	11	11
481	123	123
482	40	40
483	39	39
484	560	560
485	192	192
486	14	14
487	95	95
488	199	199
489	230	230
490	737	737
491	47	47
492	270	270
493	17	17
494	525	525
495	93	93
496	5	5
497	44	44
498	151	151
499	367	367
500	30	30
501	605	605
502	178	178
503	172	172
504	44	44
505	474	474
506	202	202
507	235	235
508	99	99
509	525	525
510	642	642
511	43	43
512	292	292
513	13	13
514	147	147
515	126	126
516	597	597
517	108	108
518	53	53
519	38	38
520	353	353
521	190	190
522	342	342
523	298	298
524	221	221
525	563	563
526	81	81
527	283	283
528	21	21
529	0	0
530	64	64
531	35	35
532	320	320
533	5	5
534	108	108
535	163	163
536	175	175
537	37	37
538	78	78
539	204	204
540	16	16
541	787	787
542	11	11
543	30	30
544	1	1
545	1	1
546	162	162
547	42	42
548	303	303
549	22	22
550	504	504
551	3	3
552	119	119
553	74	74
554	62	62
555	390	390
556	57	57
557	122	122
558	14	14
559	340	340
560	18	18
561	105	105
562	268	268
563	112	112
564	166	166
565	172	172
566	34	34
567	403	403
568	1	1
569	36	36
570	420	420
571	1	1
572	48	48
573	67	67
574	197	197
575	613	613
576	29	29
577	224	224
578	96	96
579	61	61
580	562	562
581	59	59
582	3	3
583	289	289
584	23	23
585	108	108
586	140	140
587	159	159
588	113	113
589	24	24
590	9	9
591	82	82
592	405	405
593	105	105
594	109	109
595	49	49
596	39	39
597	229	229
598	260	260
599	23	23
600	71	71
601	1	1
602	271	271
603	211	211
604	132	132
605	340	340
606	229	229
607	188	188
608	98	98
609	617	617
610	34	34
611	346	346
612	83	83
613	578	578
614	407	407
615	438	438
616	2	2
617	670	670
618	297	297
619	78	78
620	73	73
621	46	46
622	133	133
623	10	10
624	51	51
625	142	142
626	37	37
627	29	29
628	264	264
629	142	142
630	126	126
631	32	32
632	508	508
633	72	72
634	74	74
635	368	368
636	286	286
637	12	12
638	205	205
639	20	20
640	503	503
641	521	521
642	251	251
643	43	43
644	203	203
645	88	88
646	209	209
647	58	58
648	59	59
649	222	222
650	25	25
651	230	230
652	140	140
653	183	183
654	95	95
655	37	37
656	9	9
657	93	93
658	88	88
659	131	131
660	43	43
661	121	121
662	412	412
663	498	498
664	127	127
665	192	192
666	141	141
667	458	458
668	328	328
669	72	72
670	74	74
671	57	57
672	31	31
673	88	88
674	45	45
675	77	77
676	284	284
677	843	843
678	1	1
679	139	139
680	106	106
681	45	45
682	732	732
683	4	4
684	208	208
685	95	95
686	9	9
687	120	120
688	14	14
689	199	199
690	102	102
691	117	117
692	83	83
693	3	3
694	33	33
695	77	77
696	155	155
697	2	2
698	471	471
699	130	130
700	4	4
701	186	186
702	68	68
703	132	132
704	119	119
705	47	47
706	69	69
707	59	59
708	1	1
709	16	16
710	125	125
711	113	113
712	208	208
713	219	219
714	164	164
715	308	308
716	363	363
717	549	549
718	46	46
719	75	75
720	697	697
721	39	39
722	214	214
723	0	0
724	36	36
725	348	348
726	95	95
727	64	64
728	197	197
729	79	79
730	39	39
731	49	49
732	102	102
733	83	83
734	1	1
735	25	25
736	11	11
737	29	29
738	134	134
739	232	232
740	315	315
741	360	360
742	128	128
743	86	86
744	34	34
745	456	456
746	71	71
747	34	34
748	285	285
749	24	24
750	329	329
751	24	24
752	191	191
753	81	81
754	472	472
755	128	128
756	144	144
757	71	71
758	67	67
759	80	80
760	126	126
761	29	29
762	108	108
763	65	65
764	49	49
765	97	97
766	82	82
767	208	208
768	12	12
769	268	268
770	299	299
771	60	60
772	147	147
773	38	38
774	163	163
775	167	167
776	494	494
777	265	265
778	108	108
779	243	243
780	62	62
781	805	805
782	439	439
783	488	488
784	16	16
785	2	2
786	6	6
787	130	130
788	29	29
789	123	123
790	36	36
791	6	6
792	802	802
793	67	67
794	421	421
795	30	30
796	27	27
797	117	117
798	60	60
799	199	199
800	69	69
801	24	24
802	6	6
803	157	157
804	38	38
805	163	163
806	122	122
807	20	20
808	404	404
809	177	177
810	40	40
811	209	209
812	315	315
813	939	939
814	262	262
815	328	328
816	26	26
817	295	295
818	67	67
819	123	123
820	30	30
821	7	7
822	37	37
823	205	205
824	342	342
825	199	199
826	200	200
827	394	394
828	242	242
829	206	206
830	310	310
831	561	561
832	46	46
833	432	432
834	230	230
835	101	101
836	20	20
837	114	114
838	26	26
839	417	417
840	19	19
841	238	238
842	34	34
843	306	306
844	181	181
845	615	615
846	21	21
847	130	130
848	113	113
849	29	29
850	214	214
851	158	158
852	1	1
853	55	55
854	267	267
855	23	23
856	396	396
857	649	649
858	1073	1073
859	110	110
860	306	306
861	160	160
862	173	173
863	48	48
864	438	438
865	176	176
866	373	373
867	290	290
868	26	26
869	32	32
870	56	56
871	43	43
872	108	108
873	79	79
874	78	78
875	66	66
876	159	159
877	381	381
878	230	230
879	9	9
880	461	461
881	25	25
882	174	174
883	100	100
884	97	97
885	472	472
886	156	156
887	547	547
888	24	24
889	467	467
890	35	35
891	13	13
892	88	88
893	928	928
894	91	91
895	371	371
896	15	15
897	463	463
898	166	166
899	46	46
900	160	160
901	280	280
902	5	5
903	275	275
904	158	158
905	196	196
906	356	356
907	308	308
908	292	292
909	72	72
910	410	410
911	251	251
912	771	771
913	292	292
914	264	264
915	73	73
916	65	65
917	102	102
918	69	69
919	101	101
920	89	89
921	222	222
922	407	407
923	51	51
924	59	59
925	86	86
926	0	0
927	214	214
928	32	32
929	65	65
930	94	94
931	185	185
932	100	100
933	248	248
934	835	835
935	73	73
936	79	79
937	121	121
938	68	68
939	82	82
940	167	167
941	378	378
942	58	58
943	48	48
944	2	2
945	189	189
946	44	44
947	339	339
948	8	8
949	105	105
950	123	123
951	175	175
952	61	61
953	226	226
954	771	771
955	84	84
956	121	121
957	79	79
958	6	6
959	1141	1141
960	58	58
961	63	63
962	202	202
963	75	75
964	56	56
965	20	20
966	267	267
967	44	44
968	176	176
969	295	295
970	164	164
971	113	113
972	37	37
973	379	379
974	269	269
975	49	49
976	97	97
977	124	124
978	458	458
979	208	208
980	19	19
981	554	554
982	186	186
983	70	70
984	546	546
985	10	10
986	4	4
987	250	250
988	95	95
989	72	72
990	99	99
991	54	54
992	663	663
993	704	704
994	89	89
995	797	797
996	19	19
997	268	268
998	104	104
999	272	272
1000	174	174
1001	33	33
1002	685	685
1003	238	238
1004	308	308
1005	127	127
1006	295	295
1007	47	47
1008	94	94
1009	24	24
1010	131	131
1011	85	85
1012	54	54
1013	18	18
1014	54	54
1015	368	368
1016	450	450
1017	134	134
1018	153	153
1019	168	168
1020	176	176
1021	301	301
1022	149	149
1023	133	0
1024	28	0
1025	91	0
1026	27	0
1027	35	0
1028	128	0
1029	31	0
1030	147	0
1031	396	396
1032	201	0
1033	17	0
1034	17	0
1035	234	0
1036	173	0
1037	180	0
1038	29	0
1039	302	0
1040	344	344
1041	142	0
1042	111	0
1043	104	0
1044	36	0
1045	3	0
1046	150	0
1047	115	0
1048	49	0
1049	46	0
1050	242	0
1051	8	0
1052	58	0
1053	8	0
1054	400	400
1055	212	0
1056	90	0
1057	369	369
1058	305	0
1059	18	0
1060	157	0
1061	6	0
1062	5	0
1063	196	0
1064	101	0
1065	193	0
1066	1566	1566
1067	62	0
1068	6	0
1069	79	0
1070	248	0
1071	364	364
1072	177	0
1073	218	0
1074	251	0
1075	91	0
1076	76	0
1077	282	0
1078	130	0
1079	111	0
1080	28	0
1081	116	0
1082	51	0
1083	342	342
1084	80	0
1085	75	0
1086	261	0
1087	47	0
1088	113	0
1089	43	0
1090	188	0
1091	198	0
1092	186	0
1093	59	0
1094	133	0
1095	34	0
1096	47	0
1097	188	0
1098	33	0
1099	158	0
1100	149	0
1101	118	0
1102	240	0
1103	43	0
1104	95	0
1105	258	0
1106	49	0
1107	250	0
1108	49	0
1109	160	0
1110	185	0
1111	572	572
1112	248	0
1113	142	0
1114	414	414
1115	68	0
1116	25	0
1117	28	0
1118	26	0
1119	186	0
1120	88	0
1121	569	569
1122	122	0
1123	16	0
1124	86	0
1125	499	499
1126	330	330
1127	559	559
1128	98	0
1129	595	595
1130	337	337
1131	88	0
1132	88	0
1133	61	0
1134	484	484
1135	63	0
1136	57	0
1137	47	0
1138	424	424
1139	153	0
1140	213	0
1141	48	0
1142	253	0
1143	391	391
1144	115	0
1145	213	0
1146	167	0
1147	15	0
1148	690	690
1149	224	0
1150	139	0
1151	165	0
1152	473	473
1153	21	0
1154	116	0
1155	648	648
1156	93	0
1157	115	0
1158	156	0
1159	206	0
1160	816	816
1161	153	0
1162	166	0
1163	342	342
1164	179	0
1165	246	0
1166	16	0
1167	242	0
1168	159	0
1169	228	0
1170	176	0
1171	151	0
1172	76	0
1173	197	0
1174	478	478
1175	444	444
1176	33	0
1177	183	0
1178	237	0
1179	470	470
1180	188	0
1181	356	356
1182	284	0
1183	198	0
1184	10	0
1185	56	0
1186	302	0
1187	273	0
1188	342	342
1189	277	0
1190	51	0
1191	175	0
1192	209	0
1193	98	0
1194	1397	1397
1195	634	634
1196	127	0
1197	76	0
1198	86	0
1199	4	0
1200	216	0
1201	39	0
1202	90	0
1203	407	407
1204	10	0
1205	1515	1515
1206	0	0
1207	36	0
1208	203	0
1209	102	0
1210	156	0
1211	239	0
1212	810	810
1213	501	501
1214	161	0
1215	279	0
1216	99	0
1217	163	0
1218	215	0
1219	296	0
1220	338	338
1221	9	0
1222	397	397
1223	122	0
1224	132	0
1225	69	0
1226	155	0
1227	105	0
1228	100	0
1229	58	0
1230	34	0
1231	214	0
1232	4	0
1233	27	0
1234	53	0
1235	12	0
1236	179	0
1237	153	0
1238	228	0
1239	256	0
1240	17	0
1241	497	497
1242	49	0
1243	37	0
1244	169	0
1245	354	354
1246	391	391
1247	321	321
1248	201	0
1249	27	0
1250	13	0
1251	220	0
1252	106	0
1253	374	374
1254	275	0
1255	56	0
1256	261	0
1257	310	0
1258	150	0
1259	267	0
1260	175	0
1261	26	0
1262	339	339
1263	269	0
1264	57	0
1265	378	378
1266	62	0
1267	187	0
1268	407	407
1269	75	0
1270	147	0
1271	225	0
1272	7	0
1273	28	0
1274	319	0
1275	93	0
1276	136	0
1277	30	0
1278	384	384
1279	16	0
1280	125	0
1281	152	0
1282	124	0
1283	4	0
1284	98	0
1285	32	0
1286	160	0
1287	20	0
1288	438	438
1289	124	0
1290	275	0
1291	212	0
1292	100	0
1293	155	0
1294	40	0
1295	242	0
1296	279	0
1297	136	0
1298	113	0
1299	165	0
1300	60	0
1301	32	0
1302	255	0
1303	3	0
1304	14	0
1305	257	0
1306	172	0
1307	26	0
1308	28	0
1309	341	341
1310	251	0
1311	199	0
1312	111	0
1313	78	0
1314	271	0
1315	269	0
1316	74	0
1317	11	0
1318	80	0
1319	273	0
1320	301	0
1321	9	0
1322	196	0
1323	65	0
1324	129	0
1325	143	0
1326	260	0
1327	377	377
1328	115	0
1329	18	0
1330	71	0
1331	0	0
1332	46	0
1333	26	0
1334	44	0
1335	173	0
1336	116	0
1337	12	0
1338	227	0
1339	0	0
1340	166	0
1341	155	0
1342	75	0
1343	75	0
1344	199	0
1345	71	0
1346	193	0
1347	209	0
1348	132	0
1349	510	510
1350	5	0
1351	56	0
1352	137	0
1353	187	0
1354	182	0
1355	21	0
1356	65	0
1357	280	0
1358	118	0
1359	127	0
1360	0	0
1361	5	0
1362	12	0
1363	402	402
1364	605	605
1365	247	0
1366	266	0
1367	124	0
1368	158	0
1369	17	0
1370	18	0
1371	138	0
1372	121	0
1373	45	0
1374	5	0
1375	0	0
1376	88	0
1377	381	381
1378	85	0
1379	154	0
1380	81	0
1381	160	0
1382	21	0
1383	15	0
1384	314	0
1385	4	0
1386	83	0
1387	344	344
1388	107	0
1389	576	576
1390	45	0
1391	27	0
1392	62	0
1393	80	0
1394	115	0
1395	319	0
1396	39	0
1397	408	408
1398	41	0
1399	8	0
1400	78	0
1401	37	0
1402	109	0
1403	234	0
1404	197	0
1405	27	0
1406	43	0
1407	160	0
1408	198	0
1409	108	0
1410	74	0
1411	287	0
1412	78	0
1413	426	426
1414	5	0
1415	171	0
1416	202	0
1417	546	546
1418	33	0
1419	274	0
1420	753	753
1421	177	0
1422	304	0
1423	89	0
1424	3	0
1425	239	0
1426	13	0
1427	142	0
1428	46	0
1429	285	0
1430	247	0
1431	79	0
1432	268	0
1433	198	0
1434	266	0
1435	24	0
1436	490	490
1437	157	0
1438	233	0
1439	192	0
1440	332	332
1441	38	0
1442	12	0
1443	81	0
1444	151	0
1445	90	0
1446	14	0
1447	160	0
1448	148	0
1449	356	356
1450	808	808
1451	5	0
1452	139	0
1453	23	0
1454	54	0
1455	346	346
1456	52	0
1457	146	0
1458	10	0
1459	124	0
1460	27	0
1461	36	0
1462	3	0
1463	328	328
1464	107	0
1465	444	444
1466	66	0
1467	75	0
1468	316	0
1469	25	0
1470	49	0
1471	274	0
1472	50	0
1473	209	0
1474	554	554
1475	430	430
1476	307	0
1477	75	0
1478	89	0
1479	524	524
1480	266	0
1481	133	0
1482	470	470
1483	758	758
1484	186	0
1485	439	439
1486	83	0
1487	572	572
1488	14	0
1489	123	0
1490	401	401
1491	744	744
1492	259	0
1493	336	336
1494	129	0
1495	406	406
1496	98	0
1497	9	0
1498	169	0
1499	103	0
1500	242	0
1501	93	0
1502	258	0
1503	232	0
1504	38	0
1505	596	596
1506	324	324
1507	179	0
1508	403	403
1509	26	0
1510	85	0
1511	101	0
1512	73	0
1513	72	0
1514	45	0
1515	354	354
1516	264	0
1517	218	0
1518	189	0
1519	169	0
1520	386	386
1521	203	0
1522	89	0
1523	358	358
1524	68	0
1525	74	0
1526	184	0
1527	394	394
1528	257	0
1529	326	326
1530	87	0
1531	132	0
1532	29	0
1533	3	0
1534	46	0
1535	2	0
1536	30	0
1537	74	0
1538	6	0
1539	232	0
1540	424	424
1541	220	0
1542	572	572
1543	229	0
1544	48	0
1545	411	411
1546	214	0
1547	26	0
1548	170	0
1549	37	0
1550	961	961
1551	0	0
1552	114	0
1553	254	0
1554	152	0
1555	131	0
1556	15	0
1557	121	0
1558	37	0
1559	84	0
1560	57	0
1561	34	0
1562	246	0
1563	36	0
1564	332	332
1565	155	0
1566	66	0
1567	128	0
1568	4	0
1569	482	482
1570	407	407
1571	63	0
1572	53	0
1573	182	0
1574	855	855
1575	204	0
1576	3	0
1577	276	0
1578	166	0
1579	78	0
1580	154	0
1581	25	0
1582	201	0
1583	178	0
1584	169	0
1585	382	382
1586	49	0
1587	264	0
1588	294	0
1589	10	0
1590	120	0
1591	346	346
1592	566	566
1593	1	0
1594	809	809
1595	52	0
1596	107	0
1597	189	0
1598	166	0
1599	244	0
1600	248	0
1601	149	0
1602	108	0
1603	462	462
1604	26	0
1605	64	0
1606	14	0
1607	256	0
1608	8	0
1609	97	0
1610	48	0
1611	155	0
1612	29	0
1613	146	0
1614	37	0
1615	286	0
1616	26	0
1617	13	0
1618	695	695
1619	74	0
1620	192	0
1621	94	0
1622	424	424
1623	42	0
1624	29	0
1625	56	0
1626	126	0
1627	246	0
1628	73	0
1629	124	0
1630	12	0
1631	75	0
1632	53	0
1633	125	0
1634	149	0
1635	147	0
1636	108	0
1637	12	0
1638	156	0
1639	322	322
1640	79	0
1641	264	0
1642	128	0
1643	22	0
1644	7	0
1645	139	0
1646	400	400
1647	273	0
1648	65	0
1649	293	0
1650	531	531
1651	46	0
1652	42	0
1653	53	0
1654	306	0
1655	79	0
1656	41	0
1657	393	393
1658	131	0
1659	308	0
1660	778	778
1661	334	334
1662	62	0
1663	20	0
1664	20	0
1665	183	0
1666	29	0
1667	233	0
1668	96	0
1669	74	0
1670	383	383
1671	381	381
1672	581	581
1673	277	0
1674	1	0
1675	636	636
1676	546	546
1677	114	0
1678	307	0
1679	228	0
1680	4	0
1681	133	0
1682	18	0
1683	120	0
1684	80	0
1685	267	0
1686	586	586
1687	153	0
1688	13	0
1689	8	0
1690	234	0
1691	78	0
1692	244	0
1693	526	526
1694	86	0
1695	44	0
1696	569	569
1697	892	892
1698	114	0
1699	79	0
1700	148	0
1701	127	0
1702	370	370
1703	70	0
1704	311	0
1705	359	359
1706	91	0
1707	77	0
1708	322	322
1709	100	0
1710	80	0
1711	320	320
1712	137	0
1713	98	0
1714	96	0
1715	850	850
1716	332	332
1717	285	0
1718	603	603
1719	37	0
1720	264	0
1721	730	730
1722	164	0
1723	14	0
1724	104	0
1725	530	530
1726	120	0
1727	461	461
1728	40	0
1729	60	0
1730	281	0
1731	26	0
1732	919	919
1733	262	0
1734	41	0
1735	212	0
1736	355	355
1737	259	0
1738	70	0
1739	62	0
1740	20	0
1741	68	0
1742	177	0
1743	71	0
1744	97	0
1745	18	0
1746	143	0
1747	234	0
1748	205	0
1749	87	0
1750	78	0
1751	16	0
1752	427	427
1753	590	590
1754	161	0
1755	55	0
1756	211	0
1757	9	0
1758	18	0
1759	60	0
1760	165	0
1761	18	0
1762	71	0
1763	71	0
1764	363	363
1765	350	350
1766	90	0
1767	231	0
1768	123	0
1769	186	0
1770	169	0
1771	1	0
1772	291	0
1773	85	0
1774	8	0
1775	9	0
1776	541	541
1777	94	0
1778	15	0
1779	20	0
1780	151	0
1781	47	0
1782	72	0
1783	132	0
1784	135	0
1785	195	0
1786	270	0
1787	190	0
1788	246	0
1789	11	0
1790	39	0
1791	31	0
1792	9	0
1793	66	0
1794	86	0
1795	41	0
1796	179	0
1797	207	0
1798	318	0
1799	527	527
1800	57	0
1801	104	0
1802	149	0
1803	196	0
1804	496	496
1805	0	0
1806	95	0
1807	149	0
1808	449	449
1809	117	0
1810	593	593
1811	6	0
1812	92	0
1813	921	921
1814	79	0
1815	115	0
1816	296	0
1817	347	347
1818	60	0
1819	26	0
1820	151	0
1821	525	525
1822	161	0
1823	37	0
1824	227	0
1825	493	493
1826	365	365
1827	244	0
1828	165	0
1829	11	0
1830	412	412
1831	42	0
1832	377	377
1833	61	0
1834	79	0
1835	192	0
1836	154	0
1837	23	0
1838	52	0
1839	1022	1022
1840	161	0
1841	40	0
1842	321	0
1843	99	0
1844	183	0
1845	24	0
1846	106	0
1847	123	0
1848	29	0
1849	128	0
1850	264	0
1851	539	539
1852	161	0
1853	27	0
1854	42	0
1855	252	0
1856	55	0
1857	135	0
1858	26	0
1859	48	0
1860	343	343
1861	72	0
1862	812	812
1863	4	0
1864	218	0
1865	124	0
1866	329	0
1867	180	0
1868	73	0
1869	184	0
1870	126	0
1871	232	0
1872	127	0
1873	966	966
1874	40	0
1875	163	0
1876	11	0
1877	257	0
1878	131	0
1879	17	0
1880	109	0
1881	457	457
1882	157	0
1883	216	0
1884	92	0
1885	167	0
1886	169	0
1887	180	0
1888	80	0
1889	38	0
1890	150	0
1891	25	0
1892	51	0
1893	492	492
1894	129	0
1895	460	460
1896	33	0
1897	293	0
1898	91	0
1899	5	0
1900	69	0
1901	177	0
1902	76	0
1903	80	0
1904	514	514
1905	213	0
1906	72	0
1907	41	0
1908	333	0
1909	175	0
1910	280	0
1911	48	0
1912	37	0
1913	374	374
1914	263	0
1915	64	0
1916	67	0
1917	863	863
1918	20	0
1919	161	0
1920	287	0
1921	29	0
1922	108	0
1923	68	0
1924	19	0
1925	124	0
1926	44	0
1927	7	0
1928	3	0
1929	34	0
1930	155	0
1931	58	0
1932	53	0
1933	195	0
1934	250	0
1935	3	0
1936	19	0
1937	324	0
1938	429	429
1939	268	0
1940	10	0
1941	177	0
1942	205	0
1943	523	523
1944	149	0
1945	71	0
1946	135	0
1947	165	0
1948	434	434
1949	135	0
1950	241	0
1951	181	0
1952	27	0
1953	325	0
1954	60	0
1955	85	0
1956	73	0
1957	84	0
1958	150	0
1959	117	0
1960	9	0
1961	48	0
1962	51	0
1963	173	0
1964	115	0
1965	133	0
1966	256	0
1967	17	0
1968	247	0
1969	204	0
1970	59	0
1971	269	0
1972	23	0
1973	113	0
1974	255	0
1975	46	0
1976	355	355
1977	70	0
1978	72	0
1979	291	0
1980	169	0
1981	113	0
1982	334	0
1983	107	0
1984	4	0
1985	384	384
1986	6	0
1987	69	0
1988	157	0
1989	45	0
1990	555	555
1991	473	473
1992	165	0
1993	56	0
1994	154	0
1995	267	0
1996	217	0
1997	187	0
1998	82	0
1999	158	0
2000	29	0
2001	205	0
2002	43	0
2003	256	0
2004	18	0
2005	258	0
2006	214	0
2007	25	0
2008	276	0
2009	542	542
2010	127	0
2011	40	0
2012	559	559
2013	428	428
2014	53	0
2015	1057	1057
2016	274	0
2017	235	0
2018	30	0
2019	177	0
2020	847	847
2021	12	0
2022	95	0
2023	470	470
2024	61	0
2025	159	0
2026	251	0
2027	152	0
2028	133	0
2029	510	510
2030	40	0
2031	271	0
2032	47	0
2033	563	563
2034	126	0
2035	127	0
2036	194	0
2037	534	534
2038	273	0
2039	51	0
2040	15	0
2041	183	0
2042	335	0
2043	174	0
2044	176	0
2045	22	0
2046	212	0
2047	268	0
2048	513	513
2049	28	0
2050	112	0
2051	72	0
2052	70	0
2053	30	0
2054	320	0
2055	97	0
2056	0	0
2057	75	0
2058	206	0
2059	419	419
2060	296	0
2061	63	0
2062	16	0
2063	5	0
2064	26	0
2065	0	0
2066	218	0
2067	376	376
2068	43	0
2069	276	0
2070	195	0
2071	220	0
2072	18	0
2073	70	0
2074	55	0
2075	3	0
2076	2	0
2077	6	0
2078	172	0
2079	232	0
2080	151	0
2081	1	0
2082	143	0
2083	6	0
2084	521	521
2085	45	0
2086	196	0
2087	257	0
2088	335	0
2089	207	0
2090	132	0
2091	24	0
2092	55	0
2093	303	0
2094	66	0
2095	191	0
2096	124	0
2097	255	0
2098	110	0
2099	10	0
2100	61	0
2101	391	391
2102	265	0
2103	115	0
2104	242	0
2105	108	0
2106	161	0
2107	378	378
2108	85	0
2109	204	0
2110	28	0
2111	251	0
2112	35	0
2113	154	0
2114	23	0
2115	119	0
2116	22	0
2117	48	0
2118	332	0
2119	123	0
2120	172	0
2121	29	0
2122	171	0
2123	380	380
2124	261	0
2125	441	441
2126	154	0
2127	649	649
2128	71	0
2129	206	0
2130	97	0
2131	133	0
2132	48	0
2133	64	0
2134	113	0
2135	666	666
2136	1	0
2137	199	0
